"Day","Cash On Hand"
0,3500000
1,3487400
2,3154700
3,617181
4,316638
5,315699
6,240522
7,570896
8,168859
9,397800
10,153076
11,458702
12,440681
13,391218
14,394331
15,659829
16,243796
17,691344
18,588493
19,138613
20,392568
21,693551
22,164407
23,322507
24,568735
25,603172
26,46196
27,270345
28,57975
29,864074
30,1440141
31,329259
32,508659
33,507759
34,325319
35,444554
36,325304
37,847010
38,728833
39,2029326
40,2204526
41,2219104
42,2162499
43,935123
44,999669
45,1744163
46,2004763
47,2062662
48,2865584
49,2871655
50,2983977
51,3102131
52,3007860
53,3086492
54,3101716
55,3166719
56,3116548
57,3472672
58,3824551
59,4333644
60,4544293
61,4749321
62,4612657
63,4734532
64,4687060
65,4539597
66,4681065
67,4728624
68,5041797
69,5191855
70,5276897
71,5392640
72,6417058
73,6500701
74,6433111
75,6961073
76,6962906
77,6831327
78,7167061
79,7952705
80,8484970
81,9166071
82,9784995
83,10074114
84,10192559
85,10186724
86,10530370
87,10248115
88,10400376
89,10697119
90,10793391
