[HIGHEST OVERHEAD] Human Resource Expense:28.51%
[CASH DEFICIT] Day: 1, AMOUNT: USD12600
[CASH DEFICIT] Day: 2, AMOUNT: USD332700
[CASH DEFICIT] Day: 3, AMOUNT: USD2537519
[CASH DEFICIT] Day: 4, AMOUNT: USD300543
[CASH DEFICIT] Day: 5, AMOUNT: USD939
[CASH DEFICIT] Day: 6, AMOUNT: USD75177
[CASH DEFICIT] Day: 8, AMOUNT: USD402037
[CASH DEFICIT] Day: 10, AMOUNT: USD244724
[CASH DEFICIT] Day: 12, AMOUNT: USD18021
[CASH DEFICIT] Day: 13, AMOUNT: USD49463
[CASH DEFICIT] Day: 16, AMOUNT: USD416033
[CASH DEFICIT] Day: 18, AMOUNT: USD102851
[CASH DEFICIT] Day: 19, AMOUNT: USD449880
[CASH DEFICIT] Day: 22, AMOUNT: USD529144
[CASH DEFICIT] Day: 26, AMOUNT: USD556976
[CASH DEFICIT] Day: 28, AMOUNT: USD212370
[CASH DEFICIT] Day: 31, AMOUNT: USD1110882
[CASH DEFICIT] Day: 33, AMOUNT: USD900
[CASH DEFICIT] Day: 34, AMOUNT: USD182440
[CASH DEFICIT] Day: 36, AMOUNT: USD119250
[CASH DEFICIT] Day: 38, AMOUNT: USD118177
[CASH DEFICIT] Day: 42, AMOUNT: USD56605
[CASH DEFICIT] Day: 43, AMOUNT: USD1227376
[CASH DEFICIT] Day: 52, AMOUNT: USD94271
[CASH DEFICIT] Day: 56, AMOUNT: USD50171
[CASH DEFICIT] Day: 62, AMOUNT: USD136664
[CASH DEFICIT] Day: 64, AMOUNT: USD47472
[CASH DEFICIT] Day: 65, AMOUNT: USD147463
[CASH DEFICIT] Day: 74, AMOUNT: USD67590
[CASH DEFICIT] Day: 77, AMOUNT: USD131579
[CASH DEFICIT] Day: 85, AMOUNT: USD5835
[CASH DEFICIT] Day: 87, AMOUNT: USD282255
[PROFIT DEFICIT] Day: 1, AMOUNT: USD12600
[PROFIT DEFICIT] Day: 2, AMOUNT: USD332700
[PROFIT DEFICIT] Day: 3, AMOUNT: USD55840
[PROFIT DEFICIT] Day: 4, AMOUNT: USD71296
[PROFIT DEFICIT] Day: 5, AMOUNT: USD41403
[PROFIT DEFICIT] Day: 13, AMOUNT: USD175499
[PROFIT DEFICIT] Day: 22, AMOUNT: USD15913
[PROFIT DEFICIT] Day: 26, AMOUNT: USD17636
[PROFIT DEFICIT] Day: 34, AMOUNT: USD9110
[PROFIT DEFICIT] Day: 43, AMOUNT: USD132962
[PROFIT DEFICIT] Day: 49, AMOUNT: USD38046
[PROFIT DEFICIT] Day: 54, AMOUNT: USD10695
[PROFIT DEFICIT] Day: 64, AMOUNT: USD21021
[PROFIT DEFICIT] Day: 87, AMOUNT: USD7826
